disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh,id
4273,Open,,52250438,31485642.24,1506693,45000,28661326.24,1272623,0,0,9b74a1bab0b6e06cd9093aead902cda0,2020-07-09T18:13:50.023Z,5d1fafd987fac86ceb885518
4134,Closed,2018-10-10T04:00:00.000Z,1094717,816544.57,54736,0,708509.57,53299,0,0,9ea226110222f1b8a56d087ea164152b,2020-01-09T15:07:39.085Z,5d1fafd987fac86ceb885519
4094,Open,,3341914,3505333.97,0,0,3341913.97,163420,0,0,fa0f3143033a0b0d816b91a6109d5a66,2020-01-09T15:07:40.153Z,5d1fafd987fac86ceb88551a
4449,Open,,3193059,381899.75,32586.75,0,314688,34625,0,0,c97b102f71cceb694789c5d0325edda7,2020-07-21T16:34:30.660Z,5d1fafd987fac86ceb88551b
4318,Open,,4716114,4682348.67,0,206250,4245480.67,230618,0,0,89cf04bd3f533c94a7f2ead91c5cb466,2020-01-09T15:07:39.421Z,5d1fafd987fac86ceb88551c
4145,Open,,64250197,59134231.98,2256852.64,2155635,51579909.34,3141835,0,0,b847ef1f8a87571e76791904030371a7,2020-07-03T16:33:00.843Z,5d1fafd987fac86ceb88551d
1025,Closed,2002-10-15T04:00:00.000Z,2617439,2727672,0,0,2607000,10439,37898,72335,8531574574a583873cc005d6abdae37a,2020-01-09T15:07:39.066Z,5d1fafd987fac86ceb88551e
1774,Closed,2012-01-13T05:00:00.000Z,752281,541355,19657,41693,480005,0,0,0,d7c2d1f9ac2e2cfb184774543f33f9de,2020-01-09T15:07:39.028Z,5d1fafd987fac86ceb88551f
1677,Closed,2014-03-25T04:00:00.000Z,1423811,237184,64847,89668,0,74543,4186,3940,4e81b98f8a52274d0ea123001b178067,2020-01-09T15:07:39.408Z,5d1fafd987fac86ceb885520
1676,Closed,2014-05-13T04:00:00.000Z,21771250,16724761,64253,1218750,15425113,0,1750,14895,cd99be96418d2f5801a781f9053aca84,2020-01-09T15:07:39.587Z,5d1fafd987fac86ceb885521
1800,Closed,2019-02-15T05:00:00.000Z,13339796,10859257.12,0,652809,10206448.12,0,0,0,32f81770d8cf439128fde9fdd64c95fa,2020-01-09T15:07:39.527Z,5d1fafd987fac86ceb885522
4096,Closed,2018-07-11T04:00:00.000Z,467972,0,0,0,0,0,0,0,97744a7f21a4c616ca7532ab9c63f25b,2020-01-09T15:07:40.144Z,5d1fafd987fac86ceb885523
1793,Closed,2014-11-17T05:00:00.000Z,605482,608954,0,0,605482,3472,0,0,0f0cb2f58801e36f9a402fd0f9640e3c,2020-01-09T15:07:39.565Z,5d1fafd987fac86ceb885524
1157,Closed,1999-01-21T05:00:00.000Z,0,0,0,0,0,0,0,0,b74a1212546336be7af423cb848f9299,2020-01-09T15:07:39.427Z,5d1fafd987fac86ceb885525
1636,Closed,2013-11-05T05:00:00.000Z,551738,568677,0,12000,538864,0,1780,16033,9518964215d68b707de17ce9620dda55,2020-01-09T15:07:39.591Z,5d1fafd987fac86ceb885526
1341,Closed,2003-11-05T05:00:00.000Z,12259,13056,0,0,12176,0,380,500,4d9d002939fd9be6c82d6fc29d7ba9cb,2020-01-09T15:07:39.510Z,5d1fafd987fac86ceb885527
1675,Closed,2016-09-27T04:00:00.000Z,41025918,32870167,835467,2642539,28898103,353109,9464,131485,f94e2bf4c87643ff596d0b09655b091d,2020-01-09T15:07:39.484Z,5d1fafd987fac86ceb885528
4386,Open,,4230588,4711735.82,132299.58,34293.75,4063992.74,389798,0,0,4949a78201efb43e68049efe0b4c9301,2020-07-28T16:34:09.177Z,5d1fafd987fac86ceb885529
1719,Closed,2014-04-10T04:00:00.000Z,4164059,3247237,93854,85192,2854522,123246,12068,78355,359695f363298cb1e2c49df126401e59,2020-01-09T15:07:39.038Z,5d1fafd987fac86ceb88552a
4405,Open,,219625,0,0,0,0,0,0,0,6099fbcfffef34385381cb540a87b081,2020-01-09T15:07:39.429Z,5d1fafd987fac86ceb88552b
4417,Open,,494232,28665,18165,0,0,10500,0,0,d276cce8498897dd800ec15e1fbd4c5b,2020-06-29T16:32:48.904Z,5d1fafd987fac86ceb88552c
4143,Closed,2019-02-06T05:00:00.000Z,1163363,1141465.59,0,40750,1081928,18787.59,0,0,f5d672593995592c51f93570d2977394,2020-01-09T15:07:39.081Z,5d1fafd987fac86ceb88552d
1729,Closed,2015-12-04T05:00:00.000Z,3186416,2708300,0,177600,2530699,0,0,1,66517b09663c7261bbc63eedc0e06c6a,2020-01-09T15:07:39.436Z,5d1fafd987fac86ceb88552e
4428,Open,,16339949,1144550,0,0,0,1144550,0,0,174686f9be1f87d42a010051c2124d73,2020-05-05T17:01:13.967Z,5d1fafd987fac86ceb88552f
4334,Open,,1151232,1284266.62,44425.28,0,1084123.34,115023,0,0,f9f710fc0ce8c3090626d347d0eea9ee,2020-07-01T16:36:09.050Z,5d1fafd987fac86ceb885530
1007,Closed,1993-12-22T05:00:00.000Z,0,0,0,0,0,0,0,0,7ee4d4e1d50740df2658e08fa3752305,2020-01-09T15:07:39.548Z,5d1fafd987fac86ceb885531
4444,Open,,1306582,20788.84,20788.84,0,0,0,0,0,c8b5122d112459130c3579797c33205d,2020-05-02T17:00:39.639Z,5d1fafd987fac86ceb885532
1377,Closed,2011-09-28T04:00:00.000Z,105770,113141,0,0,105770,0,3199,4172,b0154cb32ca9a205efb680925521e339,2020-01-09T15:07:39.053Z,5d1fafd987fac86ceb885533
1709,Closed,2018-01-25T05:00:00.000Z,13119696,8707734,459678,384017,7560618,84246,18572,200603,4f0341369729f65539b3c21e58d71b6f,2020-01-09T15:07:40.149Z,5d1fafd987fac86ceb885534
1436,Closed,2009-05-27T04:00:00.000Z,2415667,1685487,0,0,1569026,51052,27074,38335,8d2127928f32b65b2a73a95c575a866d,2020-01-09T15:07:39.056Z,5d1fafd987fac86ceb885535
1734,Closed,2017-09-29T04:00:00.000Z,11976387,9535992,69204,743286,8175683,547819,0,0,b4ef8c0c26625679fbd52670204a543a,2020-01-09T15:07:39.581Z,5d1fafd987fac86ceb885536
4431,Open,,7730527,28280,0,0,0,28280,0,0,a32d7e8ddc5f95ccee874aca13a93a53,2020-05-21T17:01:36.089Z,5d1fafd987fac86ceb885537
4425,Open,,1304439,19587,0,19587,0,0,0,0,504f9055d5227543426638e98f4be033,2020-04-10T17:01:20.776Z,5d1fafd987fac86ceb885538
1473,Closed,2015-09-03T04:00:00.000Z,890852,895330,0,0,841352,37323,16655,0,1514bb0099ff23768fbac8556093ab7a,2020-01-09T15:07:39.523Z,5d1fafd987fac86ceb885539
4391,Open,,206421,0,0,0,0,0,0,0,64cefa0dec5ce5b05f53ecedfdcec6f7,2020-01-09T15:07:39.495Z,5d1fafd987fac86ceb88553a
1690,Closed,2010-10-27T04:00:00.000Z,372906,0,0,0,0,0,0,0,d33d3e67405ef65ccae27115a253e866,2020-01-09T15:07:39.507Z,5d1fafd987fac86ceb88553b
4422,Open,,66707,0,0,0,0,0,0,0,7fbd5189c4ac7ccfd70c0bc6f33a29c2,2020-04-04T17:00:46.718Z,5d1fafd987fac86ceb88553c
1873,Closed,2018-11-14T05:00:00.000Z,2079101,412057.48,0,0,342675,69382.48,0,0,4fa4096a2efcc3ccce8568d0b2fc120f,2020-01-09T15:07:39.385Z,5d1fafd987fac86ceb88553d
4222,Open,,12507796,11692252.55,614898.08,65290.47,10400433,611631,0,0,0d9f7ca8deddde340723a6714fc2af8b,2020-05-27T17:01:14.805Z,5d1fafd987fac86ceb88553e
1121,Closed,2004-11-24T05:00:00.000Z,484760,509154,20291,0,385525,78944,10964,13430,ec6fea777a00dacf500d1743730ff26c,2020-01-09T15:07:40.137Z,5d1fafd987fac86ceb88553f
1303,Closed,2005-12-23T05:00:00.000Z,1069496,1061424,53474,0,954461,0,20865,32624,b9f9a5b706ec2ca88ad1f1fcbe5807f3,2020-01-09T15:07:39.475Z,5d1fafd987fac86ceb885540
