disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh,id
890,Closed,2001-05-21T04:00:00.000Z,206668,221254,0,0,206668,0,5319,9267,82e161c9663cedd35c5e814d33cd0b69,2020-01-09T15:07:39.434Z,5d1fafd887fac86ceb885175
1153,Closed,2005-09-12T04:00:00.000Z,4022509,3984255,0,0,3769627,82500,50339,81789,7c0fed186949c754049c7fecee7283d7,2020-01-09T15:07:39.609Z,5d1fafd887fac86ceb885176
4262,Open,,7649288,6294118.74,382462,352524.24,5185082.5,374050,0,0,90f0e852fcb13102b7912a12bc35763b,2020-06-19T16:32:44.158Z,5d1fafd887fac86ceb885177
895,Closed,2001-05-21T04:00:00.000Z,166836,178910,0,0,165790,0,4488,8632,5f97937ebe790988096024440a4b943f,2020-01-09T15:07:39.394Z,5d1fafd887fac86ceb885178
4266,Open,,6673669,6510091.64,116328,201450,5865971.64,326342,0,0,3daa279e4568167c2773d57e1466c26c,2020-01-09T15:07:39.531Z,5d1fafd887fac86ceb885179
1224,Closed,2004-09-17T04:00:00.000Z,1708343,1749108,43140,0,1509081,116936,28209,51742,629e50d96644dc4dcfa68b2ce71cc9d1,2020-01-09T15:07:39.639Z,5d1fafd887fac86ceb88517a
942,Closed,2006-02-21T05:00:00.000Z,777004,235243,0,0,217865,2070,5593,9715,cd242bca45611e16dd779e3b22360b7d,2020-01-09T15:07:39.504Z,5d1fafd887fac86ceb88517b
1512,Closed,2009-03-12T04:00:00.000Z,243225,8570,8000,0,0,0,250,320,a2fd8378c3f32a37c4963c2650fbc007,2020-01-09T15:07:39.406Z,5d1fafd887fac86ceb88517c
1724,Closed,2013-03-27T04:00:00.000Z,1262051,243792,0,0,238205,0,16,5571,9b95c807e4d871dc8e07cffe3b3f5c8d,2020-01-09T15:07:39.514Z,5d1fafd887fac86ceb88517d
1934,Closed,2015-08-05T04:00:00.000Z,3493006,1579035,16387,0,1543816,18832,0,0,f77c1e978be17a797cabcdf0ba4bf677,2020-01-09T15:07:40.144Z,5d1fafd887fac86ceb88517e
4265,Open,,235144,12111,8591,0,0,3520,0,0,d0e2c1a348fdf1d3f294339f07e0ed87,2020-01-09T15:07:39.471Z,5d1fafd887fac86ceb88517f
1513,Closed,2010-08-31T04:00:00.000Z,229725,161341,0,15510,145776,0,55,0,b8bdc31bb19b7577dfe42c9b3ff790d1,2020-01-09T15:07:39.561Z,5d1fafd887fac86ceb885180
4263,Open,,28992576,9488646.42,320344,0,7750565.42,1417737,0,0,387a6309811de6492008cdc9b3bb9fd7,2020-01-25T20:32:13.245Z,5d1fafd887fac86ceb885181
1499,Closed,2012-08-29T04:00:00.000Z,741957,507031,0,36666,428203,19341,9619,13202,28f41caa40b89a0abd301778fe471bd8,2020-01-09T15:07:40.155Z,5d1fafd887fac86ceb885182
4261,Open,,10740208,8282341.71,403053,362000,6992092.71,525196,0,0,bdd807020c913d8d8aecca73dbea4318,2020-06-20T16:33:33.178Z,5d1fafd887fac86ceb885183
1366,Closed,2006-09-05T04:00:00.000Z,488822,442317,4051,0,431077,0,3785,3404,b60c3ed42219e815c976d6d64466ac15,2020-01-09T15:07:39.483Z,5d1fafd887fac86ceb885184
4326,Open,,753472,840294,0,0,753472,36591,0,0,9d0dc8131737d2f556c3c3c0153c7db9,2020-05-18T12:25:50.926Z,5d1fafd887fac86ceb885185
4267,Open,,6643986,6256442.38,0,328419.72,5603131.66,324891,0,0,d76f133eec8006d0949f615865f9d414,2020-07-29T16:34:09.801Z,5d1fafd887fac86ceb885186
1403,Closed,2008-07-15T04:00:00.000Z,7562379,6709061,210505,514754,5822413,38379,10310,112700,cedb9a5c8dcfe07ecf4aa843467dc5c5,2020-01-09T15:07:39.563Z,5d1fafd887fac86ceb885187
4251,Open,,6067611,5855685,227700,0,5331279,296706,0,0,7042e98a1367aead87033165da578de5,2020-06-13T16:33:54.804Z,5d1fafd887fac86ceb885188
1355,Closed,2013-01-08T05:00:00.000Z,25933284,23968328,1183356,1753972,19812883,679915,151684,386518,de63c5a1d7bb5c8fa22be229428d2df3,2020-01-09T15:07:40.145Z,5d1fafd887fac86ceb885189
1404,Closed,2006-09-06T04:00:00.000Z,731250,338652,14225,0,255677,59542,351,8857,3c665897ae5315689128d24000ed3b84,2020-01-09T15:07:39.412Z,5d1fafd887fac86ceb88518a
965,Closed,2005-04-04T04:00:00.000Z,256050,275195,0,0,256050,0,6376,12769,fbb3f7ef3029ae80dd583e43724eb4b1,2020-01-09T15:07:39.597Z,5d1fafd887fac86ceb88518b
1004,Closed,1999-08-11T04:00:00.000Z,451358,261138,0,0,246592,0,6101,8445,fad1bfd857d964a69880af475050168a,2020-01-09T15:07:39.403Z,5d1fafd887fac86ceb88518c
1524,Closed,2007-03-12T04:00:00.000Z,109588,16044,0,0,16044,0,0,0,1a4dfab55d4962259d76128ad8d534dd,2020-01-09T15:07:39.453Z,5d1fafd887fac86ceb88518d
4284,Open,,18582301,9505428.31,914355.31,1209700,6472698,908675,0,0,79addc10623fdfbd91d74b5aca18641c,2020-02-07T20:33:21.095Z,5d1fafd887fac86ceb88518e
972,Closed,2001-09-24T04:00:00.000Z,286328,246296,0,0,229099,0,5810,11387,433be69d73b7afebc745d2b337888616,2020-01-09T15:07:39.519Z,5d1fafd887fac86ceb88518f
4291,Open,,3717287,3524168.5,167064,76039,3099290.5,181775,0,0,2a0b79c2440f40301421c7ea0c196095,2020-01-09T15:07:39.534Z,5d1fafd887fac86ceb885190
1999,Open,,15053281,12513701.26,549082.09,682018.4,10581877.32,700723.45,0,0,8c4b8e88b3755aed76904c69d00e3496,2020-07-22T16:33:12.129Z,5d1fafd887fac86ceb885191
1001,Closed,2001-02-14T05:00:00.000Z,4200000,4361615,20302,0,4179698,0,54075,107540,0dfb2033d0a8b84de5d283ee8435d988,2020-01-09T15:07:39.546Z,5d1fafd887fac86ceb885192
1314,Closed,2015-12-29T05:00:00.000Z,386628,405517,0,0,386628,0,7579,11310,deb1ec3351d94232067a509532f5b2f2,2020-01-09T15:07:39.485Z,5d1fafd887fac86ceb885193
1135,Closed,2005-06-10T04:00:00.000Z,2801271,2926420,72559,0,2661267,67445,39866,85283,cc8879c68892a686187858cb69b081c8,2020-01-09T15:07:39.639Z,5d1fafd887fac86ceb885194
4087,Open,,11945300,10067325.5,0,0,9483200.5,584125,0,0,bfcb8ed3c6a025faedbd9bfcd3c1b105,2020-07-22T16:33:12.894Z,5d1fafd887fac86ceb885195
1097,Closed,1996-01-27T05:00:00.000Z,1771382,1851515,0,0,1721655,49727,29223,50910,f554bb9245f85e2ed4d41a267e9baeb4,2020-01-09T15:07:39.476Z,5d1fafd887fac86ceb885196
4107,Open,,1070561,865787.45,42750,4241.7,766445.75,52350,0,0,58bcefb62bb5db04c5b5861641747458,2020-07-30T16:37:16.227Z,5d1fafd887fac86ceb885197
4150,Closed,2018-01-08T05:00:00.000Z,1448666,1518773,66064,0,1381972,70737,0,0,306cb5b70322e974c3c56b5e77094add,2020-01-09T15:07:39.421Z,5d1fafd887fac86ceb885198
4151,Open,,1298050,421148.36,31132.68,21829.5,304711.18,63475,0,0,ca92d694d0d7870a7853273a37284515,2020-07-31T16:36:07.246Z,5d1fafd887fac86ceb885199
4106,Open,,4612581,3204054.39,0,0,2978499.39,225555,0,0,2ee3725bbb9e8e34359c10ee78b1d11a,2020-04-07T17:01:56.556Z,5d1fafd887fac86ceb88519a
4153,Closed,2019-01-30T05:00:00.000Z,1000452,428209.48,16523.97,63000,312362.93,36322.58,0,0,a96e7db3f414efa84bae351e2df32ee6,2020-01-09T15:07:39.605Z,5d1fafd887fac86ceb88519b
4187,Closed,2019-01-29T05:00:00.000Z,2961986,2478462,0,207339,2126282,144841,0,0,f1e7af8cdacbeb79e914f18ccdbca65b,2020-01-09T15:07:39.403Z,5d1fafd887fac86ceb88519c
4314,Open,,2295632,483992,0,0,371736,112256,0,0,28f7ccc97f3cdea9e108ae225d446cf6,2020-03-12T19:33:39.842Z,5d1fafd887fac86ceb88519d
4313,Open,,1616908,402646,28379,0,295200,79067,0,0,392f1d63842e739f947b7a697b8e21ef,2020-03-20T19:37:43.392Z,5d1fafd887fac86ceb88519e
4042,Open,,7221102,6056785.3,313583.79,497800,4892289.51,353112,0,0,d198eecb7287ccfa3f5eac43d4d93d63,2020-05-19T17:01:24.349Z,5d1fafd887fac86ceb88519f
1610,Closed,2012-01-06T05:00:00.000Z,920937,958210,0,0,920936,0,6789,30485,84b21ea6b8d47a32faf2666bd1f82de8,2020-01-09T15:07:39.020Z,5d1fafd887fac86ceb8851a0
4183,Closed,2018-04-11T04:00:00.000Z,2092896,1444086,183664,0,1239251,21171,0,0,6226b227bfb71f25307a821f12950758,2020-01-09T15:07:39.569Z,5d1fafd887fac86ceb8851a1
1849,Closed,2014-12-17T05:00:00.000Z,1727860,1455392,0,0,1429636,25756,0,0,0ec9145ec75098775656aa8bb2885e4a,2020-01-09T15:07:39.068Z,5d1fafd887fac86ceb8851a2
4180,Open,,3698486,3514508,0,0,3514508,0,0,0,89842c5199dd746707a698349d763379,2020-01-09T15:07:39.602Z,5d1fafd887fac86ceb8851a3
4310,Open,,1065982,482463,53299,0,377037,52127,0,0,576397bca07756f213dd81f852e896a0,2020-02-12T20:31:53.124Z,5d1fafd887fac86ceb8851a4
4154,Closed,2018-06-06T04:00:00.000Z,925434,540895,41450,61650,393322,44473,0,0,adf8ee7bbd49aba5637a98ef5617b981,2020-01-09T15:07:39.563Z,5d1fafd887fac86ceb8851a5
1571,Closed,2011-02-17T05:00:00.000Z,532634,464357,26220,25660,351498,44913,4779,11287,e532785f91ced047771daf4ae953c39c,2020-01-09T15:07:40.142Z,5d1fafd887fac86ceb8851a6
4275,Open,,141413,134085,6913,0,120257,6915,0,0,2a85032c21dfd3cc691ea753327ef0e9,2020-01-09T15:07:39.544Z,5d1fafd887fac86ceb8851a7
4328,Open,,568389,287629,22659,31500,159960,73510,0,0,d12280ff628c16a2b8f5f9ee67e51cfe,2020-05-27T17:01:14.651Z,5d1fafd887fac86ceb8851a8
4167,Open,,7675186,5198047.46,186055.13,361170.08,4275505.25,375317,0,0,cfe1388d8d60e81e794bc6c310c1e347,2020-06-17T16:33:37.163Z,5d1fafd887fac86ceb8851a9
1939,Closed,2015-12-18T05:00:00.000Z,349425,182310,0,0,165439,16871,0,0,2dd63d9f2b61ed268829ef154952a68b,2020-01-09T15:07:40.155Z,5d1fafd887fac86ceb8851aa
4329,Open,,1174453,102509.82,0,36486.82,8592,57431,0,0,11abefe6da1770ee6a185d053f958ed8,2020-06-19T16:32:43.469Z,5d1fafd887fac86ceb8851ab
4168,Open,,6248080,4280524,0,93169,3881824,305531,0,0,87baa6d3cfb9805558ddcfc46354f495,2020-01-09T15:07:39.516Z,5d1fafd887fac86ceb8851ac
1199,Closed,2000-03-29T05:00:00.000Z,1584709,1663277,79235,0,1371060,134412,28837,49733,83cdd1e68ae3a4a18584db5dc02c7016,2020-01-09T15:07:40.148Z,5d1fafd887fac86ceb8851ad
1478,Closed,2007-09-26T04:00:00.000Z,145762,32689,7288,0,0,24733,231,437,a6f31d216ec18f7d4995ac39364ec849,2020-01-09T15:07:40.149Z,5d1fafd887fac86ceb8851ae
4205,Open,,454660,92680,15295,0,77385,0,0,0,0fa37d1dac5563f313a4c7ed25ad58dd,2020-01-17T20:59:09.831Z,5d1fafd887fac86ceb8851af
4324,Open,,653546,685095.75,32675.25,32812.5,587650,31958,0,0,1acac7c85f68d7349acfbc59067c05f0,2020-01-09T15:07:39.487Z,5d1fafd887fac86ceb8851b0
4189,Closed,2019-04-18T04:00:00.000Z,808696,495075.63,0,0,456043,39032.63,0,0,4289ac0d9f741a601717a9f9d1307353,2020-01-09T15:07:39.035Z,5d1fafd887fac86ceb8851b1
4325,Open,,2224879,1838300.16,105570.91,74993,1577217.25,80519,0,0,dd93a9ea7fa4cc26590a51b76bc3b758,2020-07-18T16:37:09.872Z,5d1fafd887fac86ceb8851b2
1137,Closed,2002-10-31T05:00:00.000Z,2000000,2087889,0,0,2000000,0,31563,56326,6599797eb65151ef0885de4cbaebeaaa,2020-01-09T15:07:40.143Z,5d1fafd887fac86ceb8851b3
4178,Closed,2019-06-12T04:00:00.000Z,251914,217506.63,0,0,217383.29,123.34,0,0,26449c245bb6ed0a9e82822f6a062658,2020-01-09T15:07:39.386Z,5d1fafd887fac86ceb8851b4
1839,Closed,2015-07-23T04:00:00.000Z,700839,703135,0,31219,637645,34271,0,0,783009ff88ab6326a2a9a4934b47f0b2,2020-01-09T15:07:39.062Z,5d1fafd887fac86ceb8851b5
1622,Closed,2011-05-17T04:00:00.000Z,624188,643609,0,43500,580688,0,60,19361,398280309144311bc4a4b039e1b31ce3,2020-01-09T15:07:39.551Z,5d1fafd887fac86ceb8851b6
4079,Open,,7441168,7733972,301075,0,7069024,363873,0,0,fc0da8fba90ef608f2bb29a0ff399c4b,2020-01-09T15:07:40.159Z,5d1fafd887fac86ceb8851b7
4348,Open,,2903757,1436884,0,203262,1233622,0,0,0,b4797a75513df5633cb49727211ef849,2020-04-17T17:02:02.755Z,5d1fafd887fac86ceb8851b8
1161,Closed,2001-03-28T05:00:00.000Z,251000,265512,0,0,251000,0,6187,8325,db9ec79ef62fd328bcf4896d14fd2851,2020-01-09T15:07:40.144Z,5d1fafd887fac86ceb8851b9
4179,Closed,2019-10-16T04:00:00.000Z,1501307,1319111.81,146791.47,20237.25,1128223.51,23859.58,0,0,ed1d451d906c3190fd94ce2568a4b9bb,2020-01-15T20:33:04.054Z,5d1fafd887fac86ceb8851ba
1210,Closed,2004-10-07T04:00:00.000Z,1272680,1065050,0,0,926198,92455,21436,24961,488ffd6af6ecf874433cfedbcbe76916,2020-01-09T15:07:39.386Z,5d1fafd887fac86ceb8851bb
4258,Open,,5339713,3417609,258581,187317,2756531,215180,0,0,6997b3e4d3c6b55fe58b73d63ddc5a9d,2020-01-09T15:07:39.411Z,5d1fafd887fac86ceb8851bc
1352,Closed,2008-04-21T04:00:00.000Z,427777,192419,0,0,181443,0,4317,6659,07dc305085bcae0364fc641259673855,2020-01-09T15:07:40.148Z,5d1fafd887fac86ceb8851bd
4196,Open,,1117328,1119694.67,96266,58811.44,909980.23,54637,0,0,2eab053d1acea01ce177c7f606adb27b,2020-02-26T20:58:04.022Z,5d1fafd887fac86ceb8851be
1906,Closed,2016-12-06T05:00:00.000Z,2772910,1874578,243637,148427,1431272,51242,0,0,240191698c32fbebc4fa896730aa493f,2020-01-09T15:07:39.078Z,5d1fafd887fac86ceb8851bf
1529,Closed,2013-06-18T04:00:00.000Z,2094179,895918,0,138713,654440,62938,17313,22514,4952ad7dd5efe3b8589a250e112c6c0b,2020-01-09T15:07:39.488Z,5d1fafd887fac86ceb8851c0
860,Closed,1995-03-01T05:00:00.000Z,0,0,0,0,0,0,0,0,7346e52b2a3fe7a6078233e3f0facb69,2020-01-09T15:07:39.622Z,5d1fafd887fac86ceb8851c1
4366,Open,,19914245,997193.21,492893.75,262500.46,225000,16799,0,0,4217e06f4a3982afc9485371ed82c04b,2020-07-24T16:33:40.945Z,5d1fafd887fac86ceb8851c2
1077,Closed,2002-05-16T04:00:00.000Z,311787,330687,258836,0,52951,0,7464,11436,7c7ded688964700c1cd031ef8a9c6912,2020-01-09T15:07:39.032Z,5d1fafd887fac86ceb8851c3
1799,Closed,2014-02-25T05:00:00.000Z,319366,319962,0,0,319366,596,0,0,83ac921022f0dbfdee8724bf97942582,2020-01-09T15:07:39.449Z,5d1fafd887fac86ceb8851c4
1447,Open,,1196244,1027046,0,0,878504,106879,19023,22640,ec81db8daed4b6ea35050a5dac1e5de7,2020-01-09T15:07:39.051Z,5d1fafd887fac86ceb8851c5
1608,Closed,2012-03-08T05:00:00.000Z,1082577,341998,20738,0,277230,35709,757,7564,81b811f7b14902707716c92730eb5a64,2020-01-09T15:07:39.415Z,5d1fafd887fac86ceb8851c6
4034,Closed,2016-04-05T04:00:00.000Z,3045410,2697385,117231,21240,2535745,23169,0,0,4028971574095ede54f71404e5d52bf4,2020-01-09T15:07:39.439Z,5d1fafd887fac86ceb8851c7
1527,Closed,2010-08-08T04:00:00.000Z,3125321,1153207,149565,0,937711,49359,6719,9853,982212486d63cd5abff365d4fc177493,2020-01-09T15:07:39.595Z,5d1fafd887fac86ceb8851c8
1470,Closed,2004-06-24T04:00:00.000Z,55960,0,0,0,0,0,0,0,a75affc342c600f184b3e71c562ab006,2020-01-09T15:07:40.142Z,5d1fafd887fac86ceb8851c9
910,Closed,2004-01-22T05:00:00.000Z,431401,334274,0,0,303089,0,10051,21134,75414e12caa3dac7139f83a78f3d617e,2020-01-09T15:07:39.606Z,5d1fafd887fac86ceb8851ca
1617,Closed,2010-11-06T04:00:00.000Z,46820,46967,3675,0,38780,1294,1330,1888,09d0755f0ce4260548287aebcf83e94a,2020-01-09T15:07:40.143Z,5d1fafd887fac86ceb8851cb
4128,Closed,2018-08-30T04:00:00.000Z,1462235,960269,59110,87365,767582,46212,0,0,35e2dfc6822dd5d5a51c1010d601720d,2020-01-09T15:07:39.447Z,5d1fafd887fac86ceb8851cc
1823,Closed,2018-08-31T04:00:00.000Z,1404945,964338,4650,60392,880554,18742,0,0,67d6acd235f2b19da5002705857fc2d6,2020-01-09T15:07:39.558Z,5d1fafd887fac86ceb8851cd
1681,Closed,2016-01-28T05:00:00.000Z,3280745,2866338,0,215052,2603088,48197,0,1,da4fdb1a653d30b6202134806865010b,2020-01-09T15:07:39.015Z,5d1fafd887fac86ceb8851ce
4210,Open,,4845390,4358737.96,0,122775,3999022.96,236940,0,0,a3574b4f5137ebf92db9ba6cae8778b7,2020-01-09T15:07:39.398Z,5d1fafd887fac86ceb8851cf
1962,Closed,2017-08-08T04:00:00.000Z,265070,15000,0,15000,0,0,0,0,e18a788678b1a8f7eb3304ce77d0376d,2020-01-09T15:07:39.060Z,5d1fafd887fac86ceb8851d0
1325,Closed,2005-07-15T04:00:00.000Z,201116,98973,0,0,92620,0,2883,3470,d17853dd99f06887fc3092f81a55f98d,2020-01-09T15:07:39.585Z,5d1fafd887fac86ceb8851d1
1038,Closed,2000-09-29T04:00:00.000Z,249200,261797,0,0,244200,3971,6114,7512,09530492d4e962975ac8d43bfb82a217,2020-01-09T15:07:39.422Z,5d1fafd887fac86ceb8851d2
4374,Open,,643124,749902.3,32154.75,23550,587418.55,83177,0,0,f83d84850d0eaffa4bbd2577cb4080cb,2020-06-09T16:33:36.244Z,5d1fafd887fac86ceb8851d3
1117,Closed,2002-12-20T05:00:00.000Z,375242,395934,0,0,373035,2207,8744,11948,0303f0e3631ec5bcd62989701233a17b,2020-01-09T15:07:39.384Z,5d1fafd887fac86ceb8851d4
1817,Closed,2018-09-26T04:00:00.000Z,11628628,10634383.44,481716,389821,9302700,460146.44,0,0,40d7dcb3106b6a796149d0386d1cdd1b,2020-01-09T15:07:40.148Z,5d1fafd887fac86ceb8851d5
859,Closed,2002-04-16T04:00:00.000Z,582459,623542,0,0,580206,2253,13207,27876,32b9af94afd81d8d1bd083acb5007656,2020-01-09T15:07:39.399Z,5d1fafd887fac86ceb8851d6
1413,Closed,2007-08-21T04:00:00.000Z,756962,771719,0,0,697361,41416,7300,25642,98b62cfa18e160ae0e5b18605241806e,2020-01-09T15:07:39.555Z,5d1fafd887fac86ceb8851d7
1526,Closed,2010-07-08T04:00:00.000Z,1362737,1322215,49191,71598,1103759,60027,4244,33396,e6c4db93968b99d843d7e520035fe2d1,2020-01-09T15:07:39.554Z,5d1fafd887fac86ceb8851d8
1469,Closed,2010-09-20T04:00:00.000Z,202306,92411,9089,14000,66844,0,2478,0,322db157010973371289ac826e7109b2,2020-01-09T15:07:40.146Z,5d1fafd887fac86ceb8851d9
4269,Open,,12786378,9482835.5,140215.5,696878,8020488,625254,0,0,a096be24dbbc957b46d85b96664a7334,2020-05-13T17:00:59.648Z,5d1fafd887fac86ceb8851da
904,Closed,1998-03-03T05:00:00.000Z,642180,680344,0,0,642180,0,14320,23844,1d36d6ad2c474a21836231eb09bf18e3,2020-01-09T15:07:39.455Z,5d1fafd887fac86ceb8851db
1486,Closed,2009-06-12T04:00:00.000Z,1755157,1453627,87327,114596,1134753,83347,4306,29298,14fbe5cd1db274fc8fa3588c81fac553,2020-01-09T15:07:39.603Z,5d1fafd887fac86ceb8851dc
4327,Open,,765723,836999.77,24907.5,0,706113.85,94545.42,0,0,bfb3cb94743351fd55dc470c85e8a122,2020-01-09T15:07:39.461Z,5d1fafd887fac86ceb8851dd
4166,Open,,32425893,31430542.86,1079325.51,675004.17,28090587.18,1585626,0,0,86ef83583583788dc9ded2d20f281f23,2020-06-30T16:32:51.357Z,5d1fafd887fac86ceb8851de
4259,Open,,4089897,4032732.25,198208,270976.75,3363551.5,199996,0,0,e09ba31f58303e353a2f5a1e553d8b9c,2020-05-23T17:00:45.057Z,5d1fafd887fac86ceb8851df
1353,Closed,2004-07-23T04:00:00.000Z,98251,104509,0,0,90972,7279,2832,3426,9f5d30d977649e0d66c334a845916e28,2020-01-09T15:07:40.148Z,5d1fafd887fac86ceb8851e0
1395,Closed,2010-08-12T04:00:00.000Z,236914,244547,11846,16500,184379,19375,5396,7051,93b054a657e521a677cb6067a4d899d8,2020-01-09T15:07:39.496Z,5d1fafd887fac86ceb8851e1
875,Closed,1997-08-26T04:00:00.000Z,289750,263462,0,0,243003,0,6146,14313,ac7e81a352e85ea724ef9fa52c475636,2020-01-09T15:07:39.524Z,5d1fafd887fac86ceb8851e2
4322,Open,,4326702,406514,0,300000,106514,0,0,0,c0675915476d760f1f946a99d1b48856,2020-01-09T15:07:39.424Z,5d1fafd887fac86ceb8851e3
848,Closed,2002-04-23T04:00:00.000Z,115879,52701,5794,0,41750,0,1786,3371,efff22f42109fb3df6db121819fa7e0c,2020-01-09T15:07:39.420Z,5d1fafd887fac86ceb8851e4
4323,Open,,734063,576314.04,29040,46853,464525.5,35895.54,0,0,717fa019396ce6e5de13ba057b2cb27e,2020-01-14T20:56:17.569Z,5d1fafd887fac86ceb8851e5
1502,Closed,2007-01-10T05:00:00.000Z,123328,54661,0,0,52578,0,0,2083,16f19848ede62a3ac83b57dd9fa8d202,2020-01-09T15:07:39.483Z,5d1fafd887fac86ceb8851e6
4260,Open,,2637467,1346738.59,131873,0,1085893.59,128972,0,0,20069faa389fcd33c27714a620266ace,2020-01-09T15:07:39.608Z,5d1fafd887fac86ceb8851e7
1359,Closed,2010-05-13T04:00:00.000Z,417266,273677,0,0,213768,47579,5333,6997,370997b7463a89c3bcf2987787c5b822,2020-01-09T15:07:40.148Z,5d1fafd887fac86ceb8851e8
4264,Open,,11046531,11586702,0,500000,10546527,540175,0,0,f3423fef23f481e09a12e8db2d392513,2020-01-09T15:07:39.636Z,5d1fafd887fac86ceb8851e9
1500,Closed,2009-06-26T04:00:00.000Z,3045397,2546890,0,0,2442181,0,37275,67434,8071070579628a89ddd5bcde0a826d77,2020-01-09T15:07:39.473Z,5d1fafd887fac86ceb8851ea
4268,Open,,2598578,1360634,110709,0,1122855,127070,0,0,ff78d5f28d2b808453e584c452b555d6,2020-04-24T17:01:57.907Z,5d1fafd887fac86ceb8851eb
1023,Closed,1999-03-02T05:00:00.000Z,365063,386048,0,0,341492,23571,8551,12434,5a7a51bb68af0cba80278f1a6ff8c3c0,2020-01-09T15:07:39.638Z,5d1fafd887fac86ceb8851ec
4274,Open,,787474,825975,34194,48750,704524,38507,0,0,f20c7316b2bc6421237f2fe688883d28,2020-01-09T15:07:39.389Z,5d1fafd887fac86ceb8851ed
4270,Open,,408720,400745.26,0,0,380759.26,19986,0,0,b90eddb3a67ca3bad9c18369cd590e04,2020-01-09T15:07:39.511Z,5d1fafd887fac86ceb8851ee
1591,Closed,2011-03-02T05:00:00.000Z,493257,456544,0,0,437788,0,2285,16471,519ba4570baaf474a76755e7653a5bbd,2020-01-09T15:07:39.081Z,5d1fafd887fac86ceb8851ef
4271,Open,,257148,184134,9674,0,161885,12575,0,0,14b78cf6b8d2b73d7e986e0dcb94362e,2020-01-09T15:07:39.416Z,5d1fafd887fac86ceb8851f0
1683,Closed,2015-08-20T04:00:00.000Z,828830,893692,0,0,828830,0,14,64848,a6532d9b0651bea3f4dae18067418c7a,2020-01-09T15:07:39.023Z,5d1fafd887fac86ceb8851f1
4103,Closed,2018-07-02T04:00:00.000Z,737920,386084,18899,12996,318105,36084,0,0,c4ca9bab4c6998cfcf53746c5cc88918,2020-01-09T15:07:39.464Z,5d1fafd887fac86ceb8851f2
4276,Open,,2108980,2113329.33,0,121630.52,1888569.81,103129,0,0,2edbefc5ea4fd38d7e8710cb28444730,2020-01-09T15:07:39.585Z,5d1fafd887fac86ceb8851f3
1686,Closed,2015-12-04T05:00:00.000Z,12699596,8877853,964687,667933,6187819,864230,75732,117452,2cada6d259359cc2b01c68c8b7ca96f2,2020-01-09T15:07:39.083Z,5d1fafd887fac86ceb8851f4
4279,Open,,1044224,1092164,0,0,1041101,51063,0,0,957774b046bd2124d16c040b596e0262,2020-01-09T15:07:39.448Z,5d1fafd887fac86ceb8851f5
1973,Closed,2018-09-21T04:00:00.000Z,5130028,4331361,434926,345306,3300271,250858,0,0,e6f24d9b496adbfdf469a96a7cca361b,2020-01-09T15:07:39.615Z,5d1fafd887fac86ceb8851f6
4272,Open,,13018385,8615685,552619.5,899025,6527441.5,636599,0,0,a2e8e003333482ca809b8d924e550458,2020-07-23T16:33:32.057Z,5d1fafd887fac86ceb8851f7
1685,Closed,2008-10-21T04:00:00.000Z,178320,0,0,0,0,0,0,0,c6c1809d04e0fa30ff4eb20887b64e32,2020-01-09T15:07:39.516Z,5d1fafd887fac86ceb8851f8
4278,Open,,898247,920034.51,40491.51,22947,812672,43924,0,0,a5029e925566fd4bfa59482b51c33fb6,2020-01-09T15:07:39.453Z,5d1fafd887fac86ceb8851f9
986,Closed,2005-04-04T04:00:00.000Z,169562,181891,0,0,169562,0,4547,7782,bd65596bf66c6b603b9ada0a44d7b50e,2020-01-09T15:07:39.416Z,5d1fafd887fac86ceb8851fa
4252,Open,,1695057,1769475.12,48592.12,0,1637995,82888,0,0,c5637a96b3b37d8368cc6def7e9d677f,2020-01-09T15:07:39.559Z,5d1fafd887fac86ceb8851fb
1356,Closed,2013-04-30T04:00:00.000Z,5523264,4438038,235670,313715,3654248,126269,3753,104383,1c594264850e1661a4602d6926cb63b0,2020-01-09T15:07:40.146Z,5d1fafd887fac86ceb8851fc
1232,Closed,2004-04-09T04:00:00.000Z,297588,315378,13029,0,284559,0,7164,10626,51226273a3f327f342b0aab0c0436b09,2020-01-09T15:07:39.454Z,5d1fafd887fac86ceb8851fd
884,Closed,1999-05-05T04:00:00.000Z,99461,107926,0,0,99461,0,3097,5368,e075d6d5411d4b1e45a4d8205881788b,2020-01-09T15:07:39.634Z,5d1fafd887fac86ceb8851fe
1923,Closed,2015-08-04T04:00:00.000Z,578466,64912,28923,18563,0,17426,0,0,91996e25f855820e6cae8e9198a11376,2020-01-09T15:07:40.143Z,5d1fafd887fac86ceb8851ff
4256,Open,,8328147,4590008.02,408465.02,39713,3734584,407246,0,0,af66f4ee1fcbfb734649def5b4683675,2020-06-02T16:33:56.348Z,5d1fafd887fac86ceb885200
4257,Open,,1852256,290143,0,12906,186662,90575,0,0,edf60da6e6dc5c04335527b9b157d672,2020-01-09T15:07:39.485Z,5d1fafd887fac86ceb885201
